period_period,period_ratio,title,year
2021-01,15.52323,성수,2021
2021-02,25.29468,성수,2021
2021-03,29.92321,성수,2021
2021-04,30.67545,성수,2021
2021-05,37.13982,성수,2021
2021-06,37.87083,성수,2021
2021-07,27.30434,성수,2021
2021-08,31.64876,성수,2021
2021-09,34.36886,성수,2021
2021-10,37.3892,성수,2021
2021-11,38.65007,성수,2021
2021-12,35.79516,성수,2021
2022-01,40.75273,성수,2022
2022-02,34.50992,성수,2022
2022-03,35.78446,성수,2022
2022-04,49.40026,성수,2022
2022-05,57.30525,성수,2022
2022-06,55.27007,성수,2022
2022-07,68.17905,성수,2022
2022-08,61.81328,성수,2022
2022-09,53.29679,성수,2022
2022-10,61.42119,성수,2022
2022-11,58.43954,성수,2022
2022-12,64.64037,성수,2022
2023-01,62.56503,성수,2023
2023-02,63.39399,성수,2023
2023-03,58.54999,성수,2023
2023-04,61.0691,성수,2023
2023-05,77.84054,성수,2023
2023-06,69.38314,성수,2023
2023-07,76.753,성수,2023
2023-08,72.80182,성수,2023
2023-09,64.78802,성수,2023
2023-10,76.04487,성수,2023
2023-11,72.78783,성수,2023
2023-12,100.0,성수,2023
2021-01,29.74699,홍대,2021
2021-02,47.07353,홍대,2021
2021-03,47.20077,홍대,2021
2021-04,42.33939,홍대,2021
2021-05,56.38239,홍대,2021
2021-06,53.83959,홍대,2021
2021-07,31.8126,홍대,2021
2021-08,43.43722,홍대,2021
2021-09,45.3218,홍대,2021
2021-10,56.57746,홍대,2021
2021-11,59.06755,홍대,2021
2021-12,57.5528,홍대,2021
2022-01,68.77994,홍대,2022
2022-02,57.61242,홍대,2022
2022-03,53.68902,홍대,2022
2022-04,60.69766,홍대,2022
2022-05,80.37216,홍대,2022
2022-06,73.76359,홍대,2022
2022-07,100.0,홍대,2022
2022-08,92.23657,홍대,2022
2022-09,67.33367,홍대,2022
2022-10,83.21632,홍대,2022
2022-11,67.39804,홍대,2022
2022-12,82.89207,홍대,2022
2023-01,89.68598,홍대,2023
2023-02,90.97348,홍대,2023
2023-03,65.14881,홍대,2023
2023-04,61.41205,홍대,2023
2023-05,71.52862,홍대,2023
2023-06,66.2447,홍대,2023
2023-07,87.13627,홍대,2023
2023-08,80.06692,홍대,2023
2023-09,62.5209,홍대,2023
2023-10,68.63002,홍대,2023
2023-11,65.68801,홍대,2023
2023-12,89.80652,홍대,2023
2021-01,37.84898,연남,2021
2021-02,67.10682,연남,2021
2021-03,70.71762,연남,2021
2021-04,69.74859,연남,2021
2021-05,81.11335,연남,2021
2021-06,73.96577,연남,2021
2021-07,44.54449,연남,2021
2021-08,56.32681,연남,2021
2021-09,61.63031,연남,2021
2021-10,72.01563,연남,2021
2021-11,72.8965,연남,2021
